단어,설명
"기업공개 (企業公開, initial public offering) ","기업공개란 증권거래법 등의 규정에 따라 개인이나 소수 주주로 구성되어 폐쇄성을 띠고 있는 기업이 그 주식을 법정절차와 방법에 따라 일반 대중에게 분산하고 재무내용을 공시하는 것이다. 넓은 의미로는 기업의 전반적 경영내용의 공개, 즉 디스클로저(disclosure)까지도 포함하지만, 좁은 의미로는 주식공개를 말한다. 기업의 원활한 자금조달과 재무구조 개선을 도모하고 국민의 기업참여를 장려하여, 국민경제의 건전한 발전에 기여함을 목적으로 한다. 따라서 기업공개를 통해 주주의 분산투자 촉진 및 소유분산, 자금조달능력의 증가, 주식가치의 공정한 결정, 세제상의 혜택 등을 볼 수 있다. 최근 기업은 개인이나 소수의 소유물이 아닌 사회적 공유물로서 기업 외부의 여러 집단과 밀접한 관계를 가지고 있어 기업의 사회적 책임이 강조되고 있다. 또한 경제성장과 더불어 기업규모의 확대에 따라 소수의 자본이나 차입에 의한 간접금융만으로는 그 자금수요를 충족할 수 없게 되었다. 따라서 기업은 일반 대중으로부터 영세자금을 규합하여 거액의 소요자금을 일시에 조달하는 방법을 취하게 되는데 이를 위해서는 이해관계인의 신뢰와 이해를 받아야 한다. "
기업구조조정기금 (CRF: Corporate Restructuring Fund) ,"자산 중 50％ 이상을 대기업그룹에 속하지 않는 기업의 유상증자나 사채발행 등 신규로 발행하는 유가증권에 투자?운용하는 기금이다. 뮤추얼펀드 형태의 페이퍼컴퍼니(paper company)로 자산관리회사(AMC)에 위탁하여 관리하도록 하고 있다. 현재 한강구조조정기금 등 4개의 CRF가 설립되어 운영중이다. 국제통화기금(IMF) 관리체제 이후 성장 가능성은 있으나 일시적으로 자금부족을 겪는 성장 가능한 기업을 지원하여 기업구조조정을 촉진하기 위해 설립하였다. 구조조정기금은 크게 부채구조조정기금과 주식투자기금으로 나뉜다. 부채구조조정기금은 기업에 장기자금을 대출해 주어 단기채무를 장기채무로 전환해 주는 것이고, 주식투자기금은 기업의 주식을 기금으로 사들여 신규 자금의 공급을 원활하게 하는 역할을 한다. "
기업구조조정위원회 ,"기업구조조정위원회는 기업개선작업의 효율적 수행과 채권금융기관간의 이견조정을 목적으로 구성되었다. 위원회는 1명의 위원장과 6명 내외의 구조조정 전문가 등으로 구성되며, 채권금융기관이 신청한 대상기업의 회생가능성 유무에 대한 이견조정과, 채권금융기관이 신청한 회생가능기업의 기업개선적업 추진계획 등에 대한 이견조정, 위원회 조정의견 및 채권금융기관간 자율합의사항 위반건에 대한 처리, 기업구조조정협약의 해석 및 개정 또는 폐지의 제안 등의 권한을 보유한다. "
"기업구조조정전문회사 (企業構造調整專門會社, CRC: Corporate Restructuring Company) ","기업구조조정 촉진을 목적으로 산업발전법 제14조를 근거로 설립되는 기업구조조정 전문회사로, 구조조정기업의 매입?정리를 전담하는 민간회사이며 벌처 캐피털(vulture capital)이라고도 한다. 원래 벌처(vulture)란 대머리 독수리라는 뜻으로 시체나 썩은 고기를 먹고 사는 습성에 비유한 것이다. 한국정부가 1997년 말부터 시작된 경제위기 시기에 생긴 많은 부실기업의 정리를 활성화하기 위해 마련한 것으로, 외국의 벌처펀드(부실기업의 정상화 및 부실증권에 특화하여 투자하는 외국의 투자기관)를 모델로 하여 금융회사/보험회사를 제외한 일반기업을 대상으로 한 구조조정기구이다. 우리나라는 1999년 2월 [산업발전법]을 제정하면서 기업구조조정전문회사제도를 도입했다. 기업구조조정투자회사(CRV)가 자산관리회사(AMC)에 위탁하여 운영되는 페이퍼컴퍼니(paper company)인데 반해, 기업구조조정전문회사(CRC)는 자산운영/보관 및 기타 구조조정 관련업무를 수행하는 기업구조조정을 전문으로 하는 상법상의 주식회사이다. "
기업구조조정촉진법 (企業構造調整促進法) ,"기업의 회계투명성을 제고하고 금융기관이 신용위험을 효율적으로 관리할 수 있는 체제를 마련하는 한편, 시장원리에 입각한 민간의 자율적인 기업구조조정을 촉진시키기 위해 2001년 8월 국회에서 공포된 법안이다. 종전의 기업구조조정 과정에서 나타난 이해 당사자들간의 시장관행에 입각한 이해조정 과정의 부족, 기관간 이기주의, 부실의 신속한 인지, 부실기업의 신속한 정리, 채권금융기관들의 관리체계 부실 등 다양한 문제점들을 개선하여 기업구조조정의 신속성/효율성을 도모하고 상시적 시스템을 구축하기 위해 제정되었다. 이 법에서는 기업회계의 투명성을 높이기 위한 제도보완과 부실위험을 조기에 인식할 수 있는 시스템 법제화(부실위험평가제도화), 기업구조조정의 중심주체로서 채권단협의회의 구성 및 역할 규정, 채권금융기관간의 이해조정제도를 마련하였다. 또한, 신속한 구조조정을 위하여 채권금융기관의 책임성을 강화하고 상시평가시스템을 구축하여 회생가능성이 없는 기업은 즉시 퇴출되도록 하며, 기업이 구조조정과정에서 겪고 있는 법률상 제약요인을 해소해 주기 위한 지원사항도 규정하였다. "
"기업구조조정투자회사 (企業構造調整投資會社,CRV: Corporate Restructuring Vehicle)  ","금융기관이 대출금 출자전환에 따라 보유하게 된 주식을 전문적으로 관리하거나 매입해 주는 기관이다. CRV는 채권금융기관이 기업의 구조조정 과정에서 출자전환으로 인해 보유하게 된 주식을 위탁관리 한다. 채권금융기관으로서는 CRV에 주식을 넘겨 조기에 자금을 회수할 수 있어 유동성확보가 가능하고, CRV는 싼값에 사들인 주식이 구조조정 이후 가치가 오르면 차익을 올릴 수 있다. 정부는 채권금융기관으로 하여금 약정체결기업의 경영을 정상화하고 약정체결기업에 대한 채권을 효율적으로 정리하기 위하여 2000년 10월 25일 기업구조조정투자회사(CRV)법을 공포하였다. CRV는 약정체결기업의 경영정상화를 도모하는 것을 목적으로 약정체결기업에 투자하거나 약정체결자산을 매입하는 등의 방법으로 자산을 운용하여 그 수익을 주주에게 배분하는 회사로서 기업구조조정투자회사법에 의하여 설립된 회사이다. "
기업담보 (企業擔保) ,"어떤 기업에 속해 있는 부동산(공장, 상점 등), 동산(기계, 상품, 재료 등), 무체재산권(無體財産權, 저작권, 특허권, 상표권 등) 등의 재산을 일괄해서 담보로하는 것을 기업담보라고 한다. 기업담보는 기업 전체를 하나로 묶어 담보화하는 것을 허용한다는 점에서 볼 때 큰 의의를 가지고 있으나, 담보의 목적물인 재산이 항상 부동적(浮動的)이어서 담보로서는 불안정하다는 결함을 안고 있다. "
"기업분할 (企業分割, split-off) ",하나의 회사의 영업을 둘 이상으로 분리하고 분리된 영업자산을 자본으로 하여 회사를 신설하거나 다른회사와 합병시키는 것을 말한다. 인수합병(M&A)의 반대 개념으로 기존회사 사업부에 자본금과 부채를 나눠준 후 새로운 기업을 만드는 것이다. 즉 모회사 기존주주는 모회사주식만 소유하는 자와 신설회사 주식만 소유하는 자로 구분되고 결국 모회사 사업이 분할된다. 이 방법은 스핀오프와 달리 모회사로 현금이 유입된다. 기업분할의 방식에는 분할회사의 주식을 종전회사의 주주가 보유하게 되는 인적분할과 분할회사의 주식을 종전회사 자체가 가지는 물적분할방식이 있다. 분할과 합병이 동시에 이루어지는 분할합병의 법리도 준용된다. 
기업어음 (CP: Commercial Paper) ,"기업이 자금조달을 목적으로 발행하는 어음형식의 단기채권이다. 1981년 기업의 단기자금 조달을 쉽게 하기 위해 새로이 도입하였다. 이제까지 고정이율로 발행되던 기업어음과는 달리 기업과 투자자 사이의 자금 수급관계 등을 고려하여 금리를 자율 결정한다는 점이 가장 큰 특징이다. CP는 신용도가 높은 우량기업이 자기신용으로 발행되기 때문에 발행기업이 부도를 내면 원금은 떼이게 되므로 지명도가 높은 기업어음이 인기를 얻고 있다. 한국에서는 국내 우량기업이 금융시장 실세금리 수준으로 어음을 발행하고 있는데, 금융회사가 이를 인수하여 일반고객에게 매출하고 있다. 현재 종합금융회사, 증권회사 등이 취급하고 있고 회사는 융통어음을 할인하여 자금을 융통하고 어음소지자는 만기일에 교환, 회부하여 자금을 회수할 수 있다. 어음기간은 270일 이내이며, 액면금액은 2000만원 이상으로 규정하고 있다. 이자율은 연 40% 이내에서 투자기간의 구분없이 발행기업의 신용도 및 실세금리의 변동에 따른 변동금리가 적용되나, 중도해약의 경우 양도성예금(CD)보다 높은 해지수수료가 부과된다. "
"기업용재산 (企業用財産, industrial property) ","정부기업이 직접 그 사무용/사업용 또는 당해 기업에 종사하는 직원의 주거용으로 사용하거나 사용하기로 결정한 재산으로 국유재산법상 행정재산에 속하며 행정법학 상으로는 공용물에 속한다. 여기서 기업은 국가의 공기업을 말하며, 조폐공사, 한국은행, 석탄공사, 도로공사, 방송공사 등 공기업 사업, 국유임야사업, 전매사업, 철도, 우편사업 등을 말한다. "
기업인수/합병 (M&A: Merger & Acquisitions) ,"경영환경의 변화에 대응하기 위하여 기업의 업무 재구축의 유효한 수단으로 행하여지는 기업의 매수 및 합병을 말한다. 둘 이상의 기업이 하나로 통합되어 단일기업이 되는 합병(Merger)과, 특정기업이 다른 기업의 주식이나 자산을 취득해 경영권을 획득하는 기업매수(Acquisition)가 결합된 개념으로, 외부적인 경영자원을 활용하여 기업의 성장을 도모하는 가장 적극적인 경영전략이다. Merger은 기업합병을 뜻하며 기업의 소유권이 획득되면 매수한 기업을 해체하여 자사(自社)조직의 일부분으로 흡수하는 형태를, Acquisition는 종업원을 포함한 매수를 뜻하며 매수한 기업을 해체하지 않고 자회사 또는 관련회사로 두고 관리하는 형태를 말한다. 기업 인수/합병은 기존 기업의 내적 성장한계를 극복하고 신규사업 참여 소요기간과 투자비용 절감, 경영의 노하우나 숙련된 전문인력 및 기업의 대외적 신용확보 등 경영전략적 측면에서 발전하였다. "
